"fonte","data","item","pagina","dimensao_ivs","codigo_variavel","tipo_relacao_variavel","nivel_criticidade","resumo","origem","municipio_impactado","tipo_abrangencia","tipo_evento","cod_loteamento","nivel_confianca_loteamento","polaridade_evento","tipo_origem_evento","observacao","nota_analista"
"Tribuna Liberal","2026-03-26","Programa Cuidar","9","capital_humano","CH_04","direta","media","Entrega de kits de maternidade (6025 kits desde 2022)","Hortolandia","Hortolandia","local","politica_publica","nao_aplicavel","nao_aplicavel","positivo","institucional","acao_institucional_smids","Acao institucional SMIDS"
"Tribuna Liberal","2026-03-26","Abastecimento BRK","9","infraestrutura_urbana","IU_01","direta","media","Oscilacao de abastecimento em 14 bairros em 31/03","Hortolandia","Hortolandia","local","problema","nao_aplicavel","nao_aplicavel","negativo","infraestrutura","multiplos_loteamentos","Cruzar com loteamentos afetados"
"Tribuna Liberal","2026-03-26","Idoso encontrado morto","8","capital_humano","CH_05","indireta","alta","Idoso sozinho em situacao de vulnerabilidade (hipertenso alcoolista)","Hortolandia","Hortolandia","local","caso_individual","319","alto","negativo","assistencial","sinal_smids_ext","Vulnerabilidade individual com possivel isolamento social"
