"fonte","data","item","pagina","dimensao_ivs","codigo_variavel","tipo_relacao_variavel","nivel_criticidade","resumo","origem","municipio_impactado","tipo_abrangencia","tipo_evento","cod_loteamento","nivel_confianca_loteamento","polaridade_evento","tipo_origem_evento","observacao","nota_analista"
"Tribuna Liberal","2026-03-21","Exposicao Mulheres que Inspiram","s/n","capital_humano","CH_04","direta","media","Acao SMIDS/DPP PcD no Palacio dos Migrantes - Queza Garcia citada nominalmente","Hortolandia","Hortolandia","local","politica_publica","nao_aplicavel","nao_aplicavel","positivo","institucional","fora_escopo_smids","Acao pontual nao entra no catalogo de programas"
"Tribuna Liberal","2026-03-21","Residencial Senior Terca da Serra","s/n","renda_trabalho","RT_04","contextual","media","Segunda unidade no Parque Ortolandia - 30 leitos - envelhecimento demografico","Hortolandia","Hortolandia","local","infraestrutura","nao_aplicavel","nao_aplicavel","positivo","infraestrutura","interface_rt","Impacto futuro em RT_04 Economia Prateada"
"Tribuna Liberal","2026-03-21","17a Caravana Federativa equipamentos saude","s/n","capital_humano","CH_01","direta","media","Saude recebeu equipamentos de fisioterapia reabilitacao oftalmologia","Hortolandia","Hortolandia","local","politica_publica","nao_aplicavel","nao_aplicavel","positivo","institucional","interface_ch","Amplia capacidade de resposta Capital Humano"
"Tribuna Liberal","2026-03-21","Reajuste funcionalismo 2,51%","s/n","renda_trabalho","RT_01","direta","media","Lei 4606/2026 - 5200 servidores - IPCA 10 meses","Hortolandia","Hortolandia","local","politica_publica","nao_aplicavel","nao_aplicavel","positivo","institucional","interface_rt","Contexto de custo de vida e pressao sobre renda"
